	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.2437	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2438	18	14	0	15	0	30	44	16	11	4	0	17	0	10	0	0	0	0	0	0	24	0	0	8	0	18	0	42	19	39	0	7	14	0	0	10	0	0	16	0	0	0
ASV.2439	0	0	21	0	0	0	0	5	0	0	0	0	0	9	14	0	0	0	0	11	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	24
ASV.244	18	14	0	0	0	0	9	15	0	0	0	0	0	0	0	10	11	29	0	0	13	0	8	8	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	19	20	0
ASV.2440	0	0	0	0	6	11	9	21	9	0	9	0	0	0	0	0	5	8	3	6	0	0	0	7	0	0	0	0	0	0	0	3	15	0	6	9	0	0	8	0	0	0
ASV.2441	2603	1558	2518	2129	1950	2670	3223	4243	1941	1383	1640	2120	2236	2126	1833	1665	1423	2335	2512	1850	2166	1671	1270	1652	1731	4462	1758	3340	2096	3631	2948	2019	2624	2374	2826	3806	1858	2706	3031	2023	1315	4912
ASV.2442	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	81	0	0	0	0	0	0
ASV.2443	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2444	27	27	19	15	0	0	0	16	10	13	13	0	0	0	7	28	26	51	11	17	21	12	0	24	0	14	19	0	10	0	6	16	12	24	7	21	32	0	11	16	13	0
ASV.2445	5	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	11	12
ASV.2446	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
ASV.2447	94	88	253	134	189	222	19	35	0	0	0	459	190	169	114	74	60	129	97	111	59	248	727	90	0	26	0	0	0	0	284	0	21	0	119	95	137	181	28	157	67	133
